F_1,F_3,F_5,F_7,F_6,F_8,Labels
0.0,0.0,0.0,51.0,51.0,0.0,1.0
0.0,0.0,-10.0,56.0,56.0,0.0,4.0
0.0,0.0,5.0,79.0,79.0,0.0,4.0
0.0,0.0,-14.0,52.0,52.0,0.0,4.0
0.0,4.0,-30.0,32.0,32.0,4.0,4.0
0.0,0.0,17.0,30.0,30.0,0.0,1.0
0.0,1.0,0.0,41.0,41.0,1.0,1.0
1.0,0.0,-18.0,43.0,43.0,0.0,1.0
0.0,0.0,-2.0,32.0,32.0,0.0,1.0
0.0,0.0,13.0,70.0,70.0,0.0,1.0
0.0,0.0,-15.0,49.0,49.0,0.0,1.0
0.0,0.0,10.0,47.0,47.0,0.0,1.0
2.0,0.0,18.0,37.0,37.0,0.0,1.0
0.0,0.0,26.0,80.0,0.0,0.0,1.0
0.0,0.0,-4.0,37.0,37.0,0.0,1.0
-4.0,0.0,-1.0,45.0,45.0,0.0,4.0
0.0,0.0,-23.0,44.0,44.0,0.0,1.0
-5.0,1.0,0.0,44.0,44.0,1.0,1.0
-2.0,-3.0,-14.0,88.0,88.0,-3.0,1.0
-45.0,-1.0,0.0,81.0,81.0,-1.0,4.0
0.0,0.0,21.0,46.0,46.0,0.0,1.0
0.0,0.0,25.0,75.0,75.0,0.0,1.0
-1.0,8.0,0.0,29.0,29.0,8.0,4.0
0.0,-2.0,5.0,67.0,67.0,-2.0,1.0
1.0,3.0,0.0,40.0,40.0,3.0,1.0
0.0,1.0,8.0,36.0,36.0,1.0,1.0
0.0,0.0,-2.0,125.0,125.0,0.0,1.0
-3.0,-1.0,-2.0,40.0,40.0,-1.0,4.0
0.0,2.0,7.0,95.0,95.0,2.0,1.0
3.0,0.0,23.0,39.0,39.0,0.0,4.0
0.0,0.0,16.0,59.0,59.0,0.0,1.0
-2.0,5.0,-4.0,30.0,30.0,5.0,1.0
0.0,0.0,9.0,101.0,101.0,0.0,1.0
0.0,0.0,-14.0,38.0,38.0,0.0,1.0
0.0,-5.0,0.0,31.0,31.0,-5.0,1.0
0.0,8.0,5.0,27.0,27.0,8.0,4.0
-3.0,0.0,-3.0,92.0,92.0,0.0,4.0
0.0,0.0,-30.0,85.0,85.0,0.0,1.0
0.0,0.0,0.0,57.0,57.0,0.0,1.0
1.0,0.0,9.0,41.0,41.0,0.0,1.0
-1.0,0.0,-6.0,52.0,52.0,0.0,5.0
0.0,1.0,20.0,39.0,39.0,1.0,4.0
1.0,0.0,8.0,33.0,33.0,0.0,1.0
-1.0,0.0,-20.0,37.0,37.0,0.0,1.0
0.0,0.0,-1.0,75.0,75.0,0.0,1.0
0.0,-5.0,3.0,40.0,40.0,-5.0,3.0
-3.0,0.0,0.0,38.0,38.0,0.0,1.0
0.0,0.0,4.0,111.0,111.0,0.0,1.0
0.0,1.0,30.0,42.0,42.0,1.0,1.0
0.0,0.0,12.0,48.0,48.0,0.0,1.0
5.0,-7.0,0.0,33.0,33.0,-7.0,1.0
0.0,0.0,30.0,95.0,95.0,0.0,5.0
0.0,8.0,0.0,92.0,92.0,8.0,4.0
0.0,0.0,-27.0,53.0,53.0,0.0,1.0
0.0,-7.0,2.0,29.0,29.0,-7.0,1.0
0.0,-1.0,-26.0,48.0,48.0,-1.0,1.0
5.0,-1.0,0.0,46.0,46.0,-1.0,1.0
0.0,0.0,31.0,92.0,92.0,0.0,4.0
0.0,-2.0,-3.0,35.0,35.0,-2.0,1.0
0.0,0.0,-19.0,71.0,71.0,0.0,1.0
0.0,0.0,9.0,43.0,43.0,0.0,1.0
0.0,8.0,-2.0,32.0,32.0,8.0,4.0
0.0,0.0,-10.0,31.0,31.0,0.0,1.0
0.0,0.0,30.0,46.0,46.0,0.0,1.0
0.0,0.0,28.0,39.0,39.0,0.0,1.0
-1.0,0.0,2.0,35.0,35.0,0.0,1.0
0.0,2.0,-5.0,54.0,54.0,2.0,1.0
1.0,0.0,31.0,26.0,26.0,0.0,1.0
3.0,0.0,8.0,38.0,38.0,0.0,1.0
0.0,-2.0,-3.0,28.0,28.0,-2.0,1.0
0.0,0.0,7.0,73.0,73.0,0.0,1.0
0.0,6.0,-10.0,97.0,97.0,6.0,1.0
0.0,0.0,12.0,39.0,39.0,0.0,1.0
0.0,-1.0,-2.0,35.0,35.0,-1.0,1.0
2.0,0.0,1.0,53.0,53.0,0.0,3.0
0.0,0.0,28.0,36.0,36.0,0.0,1.0
0.0,0.0,13.0,50.0,50.0,0.0,1.0
0.0,0.0,-20.0,44.0,44.0,0.0,1.0
0.0,0.0,27.0,43.0,43.0,0.0,1.0
3.0,0.0,-14.0,41.0,41.0,0.0,1.0
6.0,0.0,7.0,125.0,125.0,0.0,1.0
0.0,0.0,-13.0,105.0,105.0,0.0,4.0
0.0,0.0,-5.0,45.0,45.0,0.0,4.0
0.0,0.0,6.0,51.0,51.0,0.0,1.0
-1.0,0.0,-4.0,42.0,42.0,0.0,1.0
0.0,-2.0,-24.0,87.0,87.0,-2.0,1.0
-1.0,1.0,0.0,44.0,44.0,1.0,1.0
-4.0,0.0,0.0,25.0,25.0,0.0,4.0
3.0,0.0,4.0,57.0,57.0,0.0,1.0
0.0,-4.0,0.0,108.0,108.0,-4.0,1.0
-21.0,0.0,0.0,88.0,88.0,0.0,1.0
-3.0,0.0,-13.0,32.0,32.0,0.0,1.0
0.0,0.0,3.0,36.0,36.0,0.0,1.0
-3.0,0.0,0.0,29.0,29.0,0.0,1.0
0.0,0.0,-14.0,92.0,92.0,0.0,1.0
0.0,0.0,2.0,66.0,66.0,0.0,1.0
0.0,0.0,20.0,55.0,55.0,0.0,1.0
0.0,3.0,30.0,45.0,45.0,3.0,4.0
0.0,-1.0,10.0,42.0,42.0,-1.0,1.0
0.0,-1.0,34.0,39.0,39.0,-1.0,1.0
0.0,4.0,0.0,48.0,48.0,4.0,1.0
1.0,0.0,2.0,30.0,30.0,0.0,3.0
0.0,0.0,0.0,28.0,28.0,0.0,1.0
0.0,0.0,-13.0,60.0,60.0,0.0,1.0
1.0,0.0,-3.0,61.0,61.0,0.0,4.0
1.0,0.0,-20.0,39.0,39.0,0.0,1.0
0.0,-1.0,-18.0,40.0,40.0,-1.0,1.0
-3.0,0.0,1.0,42.0,42.0,0.0,5.0
-2.0,0.0,0.0,37.0,37.0,0.0,1.0
3.0,0.0,24.0,37.0,37.0,0.0,1.0
4.0,0.0,8.0,39.0,39.0,0.0,1.0
0.0,0.0,-22.0,48.0,48.0,0.0,4.0
-4.0,-1.0,12.0,39.0,39.0,-1.0,1.0
0.0,0.0,-3.0,31.0,31.0,0.0,1.0
0.0,0.0,-13.0,50.0,50.0,0.0,1.0
0.0,-3.0,8.0,96.0,96.0,-3.0,1.0
0.0,0.0,-32.0,60.0,60.0,0.0,1.0
0.0,0.0,-12.0,52.0,52.0,0.0,1.0
0.0,-3.0,0.0,34.0,34.0,-3.0,1.0
0.0,0.0,15.0,123.0,123.0,0.0,5.0
3.0,0.0,6.0,29.0,29.0,0.0,1.0
-4.0,0.0,1.0,30.0,30.0,0.0,1.0
-5.0,0.0,0.0,41.0,41.0,0.0,5.0
0.0,0.0,-14.0,54.0,54.0,0.0,5.0
7.0,0.0,0.0,48.0,48.0,0.0,1.0
4.0,0.0,5.0,31.0,31.0,0.0,1.0
0.0,0.0,0.0,59.0,59.0,0.0,1.0
0.0,0.0,-10.0,105.0,105.0,0.0,1.0
0.0,0.0,18.0,46.0,46.0,0.0,1.0
1.0,-1.0,0.0,51.0,51.0,-1.0,5.0
0.0,0.0,0.0,86.0,86.0,0.0,1.0
0.0,0.0,-6.0,72.0,72.0,0.0,1.0
0.0,3.0,31.0,52.0,52.0,3.0,1.0
0.0,0.0,17.0,38.0,38.0,0.0,5.0
3.0,-2.0,0.0,49.0,49.0,-2.0,1.0
-1.0,-1.0,-11042.0,240.0,240.0,-1.0,1.0
0.0,-7.0,0.0,41.0,41.0,-7.0,4.0
0.0,4.0,0.0,73.0,73.0,4.0,1.0
0.0,0.0,-2.0,85.0,85.0,0.0,1.0
0.0,0.0,-22.0,38.0,38.0,0.0,1.0
0.0,5.0,-4.0,44.0,44.0,5.0,5.0
-1.0,-3.0,-12.0,57.0,57.0,-3.0,1.0
0.0,-3.0,0.0,81.0,81.0,-3.0,1.0
0.0,0.0,-3.0,37.0,37.0,0.0,1.0
1.0,-5.0,0.0,55.0,55.0,-5.0,1.0
5.0,0.0,0.0,31.0,31.0,0.0,1.0
2.0,0.0,29.0,51.0,51.0,0.0,1.0
0.0,0.0,-17.0,48.0,48.0,0.0,1.0
-4.0,1.0,22.0,32.0,32.0,1.0,4.0
-5.0,0.0,0.0,56.0,56.0,0.0,1.0
0.0,0.0,-4.0,58.0,58.0,0.0,4.0
0.0,-4.0,0.0,81.0,81.0,-4.0,1.0
0.0,2.0,0.0,42.0,42.0,2.0,1.0
-2.0,0.0,0.0,39.0,39.0,0.0,1.0
-5.0,0.0,0.0,30.0,30.0,0.0,4.0
1.0,0.0,-3.0,36.0,36.0,0.0,1.0
0.0,0.0,0.0,38.0,38.0,0.0,1.0
0.0,-1.0,0.0,38.0,38.0,-1.0,1.0
-2.0,8.0,0.0,79.0,79.0,8.0,1.0
0.0,2.0,23.0,33.0,33.0,2.0,4.0
-9.0,2.0,0.0,69.0,69.0,2.0,1.0
0.0,0.0,-18.0,41.0,41.0,0.0,1.0
-2.0,0.0,-6.0,42.0,42.0,0.0,1.0
0.0,-5.0,0.0,39.0,39.0,-5.0,1.0
0.0,-2.0,0.0,44.0,44.0,-2.0,1.0
-1.0,0.0,-11.0,33.0,33.0,0.0,4.0
3.0,0.0,0.0,31.0,31.0,0.0,4.0
0.0,0.0,29.0,79.0,79.0,0.0,1.0
0.0,0.0,25.0,32.0,32.0,0.0,4.0
0.0,0.0,-21.0,77.0,77.0,0.0,1.0
0.0,-2.0,0.0,97.0,97.0,-2.0,4.0
0.0,0.0,-13.0,33.0,33.0,0.0,1.0
-2.0,0.0,3.0,45.0,45.0,0.0,1.0
2.0,1.0,-25.0,56.0,56.0,1.0,1.0
0.0,7.0,0.0,60.0,60.0,7.0,1.0
5.0,0.0,0.0,37.0,37.0,0.0,4.0
0.0,1.0,11.0,41.0,41.0,1.0,1.0
5.0,0.0,0.0,43.0,43.0,0.0,1.0
4.0,5.0,0.0,35.0,35.0,5.0,1.0
0.0,0.0,10.0,39.0,39.0,0.0,1.0
0.0,0.0,-23.0,49.0,49.0,0.0,1.0
3.0,0.0,2.0,27.0,27.0,0.0,5.0
-1.0,-3.0,-4.0,37.0,37.0,-3.0,5.0
0.0,0.0,31.0,36.0,36.0,0.0,1.0
-1.0,0.0,-4.0,50.0,50.0,0.0,1.0
-1.0,0.0,0.0,40.0,40.0,0.0,1.0
4.0,0.0,0.0,37.0,37.0,0.0,1.0
0.0,-1.0,-6.0,44.0,44.0,-1.0,4.0
0.0,-2.0,-2.0,43.0,43.0,-2.0,1.0
5.0,0.0,0.0,88.0,88.0,0.0,1.0
0.0,0.0,-6.0,54.0,54.0,0.0,1.0
0.0,6.0,23.0,42.0,42.0,6.0,4.0
0.0,0.0,4.0,39.0,39.0,0.0,4.0
-2.0,1.0,0.0,52.0,52.0,1.0,4.0
-2.0,0.0,0.0,51.0,51.0,0.0,1.0
0.0,0.0,20.0,67.0,67.0,0.0,1.0
0.0,0.0,31.0,72.0,72.0,0.0,1.0
0.0,-1.0,4.0,45.0,45.0,-1.0,1.0
0.0,0.0,-15.0,52.0,52.0,0.0,1.0
0.0,2.0,0.0,84.0,84.0,2.0,1.0
0.0,5.0,0.0,30.0,30.0,5.0,4.0
1.0,0.0,0.0,126.0,126.0,0.0,1.0
0.0,0.0,28.0,28.0,28.0,0.0,1.0
5.0,0.0,-18.0,40.0,40.0,0.0,1.0
-1.0,0.0,0.0,41.0,41.0,0.0,1.0
0.0,3.0,17.0,43.0,43.0,3.0,5.0
-64.0,0.0,0.0,44.0,44.0,0.0,4.0
0.0,0.0,0.0,53.0,53.0,0.0,5.0
4.0,0.0,-3.0,37.0,37.0,0.0,4.0
0.0,3.0,-8.0,33.0,33.0,3.0,1.0
0.0,0.0,7.0,68.0,68.0,0.0,1.0
0.0,-1.0,0.0,41.0,41.0,-1.0,5.0
0.0,0.0,-12.0,51.0,51.0,0.0,1.0
0.0,-1.0,-3.0,95.0,95.0,-1.0,1.0
-2.0,0.0,-17.0,44.0,44.0,0.0,1.0
0.0,0.0,28.0,70.0,70.0,0.0,4.0
0.0,6.0,-3.0,51.0,51.0,6.0,1.0
4.0,1.0,0.0,123.0,123.0,1.0,1.0
0.0,-6.0,-3.0,42.0,42.0,-6.0,5.0
0.0,0.0,-15.0,65.0,65.0,0.0,1.0
4.0,-4.0,0.0,48.0,48.0,-4.0,1.0
4.0,0.0,-19.0,39.0,39.0,0.0,1.0
0.0,0.0,11.0,79.0,79.0,0.0,1.0
-1.0,0.0,2.0,29.0,29.0,0.0,4.0
5.0,0.0,-2.0,29.0,29.0,0.0,1.0
0.0,4.0,0.0,100.0,100.0,4.0,4.0
-4.0,0.0,3.0,86.0,86.0,0.0,1.0
0.0,0.0,-6.0,86.0,86.0,0.0,1.0
-1.0,-3.0,15.0,103.0,103.0,-3.0,5.0
0.0,0.0,-19.0,61.0,61.0,0.0,1.0
0.0,-2.0,0.0,69.0,69.0,-2.0,1.0
0.0,6.0,-3.0,84.0,84.0,6.0,1.0
-5.0,0.0,0.0,28.0,28.0,0.0,1.0
0.0,-4.0,0.0,53.0,53.0,-4.0,1.0
5.0,0.0,0.0,35.0,35.0,0.0,1.0
0.0,0.0,-28.0,30.0,30.0,0.0,1.0
0.0,0.0,-19.0,45.0,45.0,0.0,5.0
0.0,3.0,-14.0,45.0,45.0,3.0,1.0
2.0,0.0,0.0,67.0,67.0,0.0,1.0
-5.0,0.0,0.0,48.0,48.0,0.0,1.0
0.0,0.0,15.0,31.0,31.0,0.0,1.0
0.0,3.0,-12.0,44.0,44.0,3.0,1.0
4.0,0.0,8.0,32.0,32.0,0.0,1.0
-1.0,-3.0,-5.0,37.0,37.0,-3.0,1.0
-1.0,5.0,0.0,46.0,46.0,5.0,4.0
4.0,0.0,0.0,90.0,90.0,0.0,1.0
2.0,0.0,0.0,53.0,53.0,0.0,4.0
-3.0,0.0,16.0,64.0,64.0,0.0,1.0
0.0,-5.0,2.0,39.0,39.0,-5.0,5.0
0.0,0.0,6.0,39.0,39.0,0.0,5.0
0.0,0.0,-24.0,130.0,130.0,0.0,1.0
3.0,0.0,-17.0,49.0,49.0,0.0,1.0
0.0,0.0,4.0,47.0,47.0,0.0,4.0
1.0,0.0,12.0,88.0,88.0,0.0,1.0
-5.0,0.0,0.0,26.0,26.0,0.0,1.0
1.0,-1.0,-3.0,42.0,42.0,-1.0,1.0
0.0,0.0,-13.0,54.0,54.0,0.0,1.0
-3.0,0.0,7.0,29.0,29.0,0.0,1.0
0.0,8.0,0.0,58.0,58.0,8.0,1.0
3.0,0.0,23.0,28.0,28.0,0.0,1.0
0.0,0.0,-7.0,88.0,88.0,0.0,1.0
-1.0,0.0,-30.0,34.0,34.0,0.0,4.0
2.0,0.0,0.0,42.0,42.0,0.0,1.0
-5.0,0.0,-20.0,35.0,35.0,0.0,1.0
-1.0,0.0,5.0,27.0,27.0,0.0,1.0
0.0,0.0,-12.0,86.0,86.0,0.0,1.0
0.0,-5.0,4.0,74.0,74.0,-5.0,1.0
0.0,1.0,-9.0,71.0,71.0,1.0,1.0
-2.0,0.0,0.0,42.0,42.0,0.0,1.0
0.0,0.0,24.0,82.0,82.0,0.0,1.0
-1.0,-4.0,0.0,37.0,37.0,-4.0,1.0
1.0,0.0,0.0,63.0,63.0,0.0,1.0
0.0,2.0,-10.0,84.0,84.0,2.0,1.0
0.0,2.0,-7.0,42.0,42.0,2.0,1.0
0.0,0.0,13.0,49.0,49.0,0.0,1.0
0.0,-6.0,0.0,48.0,48.0,-6.0,4.0
-5.0,-2.0,-5.0,37.0,37.0,-2.0,1.0
4.0,0.0,0.0,60.0,60.0,0.0,1.0
0.0,2.0,-29.0,67.0,67.0,2.0,4.0
3.0,0.0,5.0,39.0,39.0,0.0,1.0
1.0,3.0,0.0,67.0,67.0,3.0,4.0
-2.0,0.0,-13.0,45.0,45.0,0.0,1.0
0.0,-3.0,0.0,38.0,38.0,-3.0,1.0
0.0,0.0,0.0,41.0,41.0,0.0,5.0
5.0,1.0,30.0,30.0,30.0,1.0,1.0
-4.0,0.0,4.0,34.0,34.0,0.0,4.0
2.0,0.0,0.0,74.0,74.0,0.0,4.0
1.0,0.0,-2.0,39.0,39.0,0.0,1.0
3.0,-2.0,-11.0,44.0,44.0,-2.0,1.0
0.0,0.0,-5.0,42.0,42.0,0.0,1.0
1.0,0.0,17.0,41.0,41.0,0.0,1.0
3.0,0.0,16.0,31.0,31.0,0.0,1.0
0.0,0.0,-8.0,52.0,52.0,0.0,1.0
0.0,8.0,-6.0,43.0,43.0,8.0,1.0
4.0,0.0,4.0,48.0,48.0,0.0,4.0
-137.0,-1.0,-2.0,69.0,69.0,-1.0,1.0
1.0,0.0,21.0,34.0,34.0,0.0,1.0
0.0,0.0,-22.0,34.0,34.0,0.0,4.0
0.0,-2.0,-1.0,46.0,46.0,-2.0,1.0
3.0,0.0,0.0,50.0,50.0,0.0,1.0
0.0,0.0,9.0,51.0,51.0,0.0,1.0
0.0,0.0,7.0,47.0,47.0,0.0,1.0
0.0,-5.0,0.0,66.0,66.0,-5.0,1.0
-1.0,1.0,0.0,35.0,35.0,1.0,1.0
-1.0,0.0,0.0,37.0,37.0,0.0,1.0
5.0,0.0,0.0,43.0,43.0,0.0,1.0
0.0,-1.0,-5.0,88.0,88.0,-1.0,1.0
4.0,0.0,31.0,58.0,58.0,0.0,1.0
0.0,0.0,-6.0,55.0,55.0,0.0,1.0
0.0,0.0,25.0,35.0,35.0,0.0,1.0
-5.0,0.0,0.0,127.0,127.0,0.0,1.0
0.0,0.0,0.0,82.0,82.0,0.0,1.0
5.0,0.0,-13.0,40.0,40.0,0.0,1.0
0.0,4.0,0.0,82.0,82.0,4.0,1.0
0.0,0.0,22.0,67.0,67.0,0.0,1.0
0.0,0.0,11.0,52.0,52.0,0.0,1.0
3.0,0.0,-15.0,41.0,41.0,0.0,3.0
-3.0,0.0,0.0,44.0,44.0,0.0,4.0
-3.0,2.0,0.0,28.0,28.0,2.0,5.0
0.0,0.0,-11.0,91.0,91.0,0.0,1.0
0.0,0.0,-3.0,53.0,53.0,0.0,4.0
0.0,0.0,-9.0,112.0,112.0,0.0,1.0
0.0,0.0,-4.0,52.0,52.0,0.0,1.0
0.0,-3.0,0.0,27.0,27.0,-3.0,4.0
0.0,-7.0,0.0,34.0,34.0,-7.0,1.0
0.0,0.0,-30.0,57.0,57.0,0.0,1.0
0.0,6.0,8.0,52.0,52.0,6.0,4.0
-3.0,0.0,0.0,33.0,33.0,0.0,1.0
0.0,0.0,-1.0,40.0,40.0,0.0,1.0
1.0,0.0,-6.0,32.0,32.0,0.0,1.0
0.0,2.0,30.0,45.0,45.0,2.0,1.0
0.0,1.0,0.0,40.0,40.0,1.0,1.0
0.0,1.0,9.0,40.0,40.0,1.0,1.0
-4.0,0.0,0.0,59.0,59.0,0.0,1.0
4.0,2.0,0.0,49.0,49.0,2.0,4.0
-1.0,0.0,23.0,51.0,51.0,0.0,1.0
-1.0,-5.0,-8.0,54.0,54.0,-5.0,2.0
0.0,-1.0,-6.0,39.0,39.0,-1.0,1.0
0.0,0.0,11.0,42.0,42.0,0.0,1.0
0.0,0.0,-1.0,103.0,103.0,0.0,1.0
0.0,0.0,3.0,32.0,32.0,0.0,1.0
0.0,-3.0,0.0,82.0,82.0,-3.0,1.0
-2.0,-8.0,-13.0,54.0,54.0,-8.0,1.0
0.0,0.0,5.0,78.0,78.0,0.0,5.0
1.0,0.0,0.0,30.0,30.0,0.0,1.0
-3.0,0.0,-12.0,68.0,68.0,0.0,1.0
0.0,0.0,19.0,99.0,99.0,0.0,1.0
0.0,0.0,1.0,59.0,59.0,0.0,1.0
2.0,0.0,0.0,44.0,44.0,0.0,1.0
-1.0,0.0,-12.0,53.0,53.0,0.0,4.0
0.0,-1.0,0.0,46.0,46.0,-1.0,1.0
0.0,0.0,-5.0,66.0,66.0,0.0,4.0
0.0,3.0,0.0,59.0,59.0,3.0,1.0
4.0,0.0,-4.0,40.0,40.0,0.0,1.0
0.0,-2.0,0.0,31.0,31.0,-2.0,1.0
-1864.0,0.0,0.0,44.0,44.0,0.0,1.0
-88.0,0.0,-1.0,69.0,69.0,0.0,1.0
0.0,0.0,20.0,92.0,92.0,0.0,5.0
-4.0,0.0,0.0,41.0,41.0,0.0,1.0
0.0,-1.0,-3.0,53.0,53.0,-1.0,1.0
4.0,0.0,0.0,45.0,45.0,0.0,1.0
-2.0,0.0,1.0,51.0,51.0,0.0,1.0
0.0,0.0,-22.0,41.0,41.0,0.0,1.0
0.0,3.0,6.0,47.0,47.0,3.0,1.0
0.0,0.0,10.0,36.0,36.0,0.0,5.0
-1.0,0.0,-27.0,35.0,35.0,0.0,1.0
0.0,0.0,-22.0,55.0,55.0,0.0,1.0
0.0,3.0,0.0,62.0,62.0,3.0,5.0
0.0,0.0,-29.0,130.0,130.0,0.0,1.0
0.0,0.0,29.0,41.0,41.0,0.0,1.0
0.0,0.0,-30.0,63.0,63.0,0.0,4.0
3.0,0.0,25.0,40.0,40.0,0.0,1.0
0.0,-4.0,19.0,35.0,35.0,-4.0,1.0
3.0,0.0,2.0,37.0,37.0,0.0,1.0
0.0,5.0,0.0,33.0,33.0,5.0,1.0
0.0,0.0,6.0,59.0,59.0,0.0,1.0
-5.0,-6.0,0.0,29.0,29.0,-6.0,1.0
0.0,0.0,19.0,54.0,54.0,0.0,1.0
0.0,0.0,10.0,36.0,36.0,0.0,1.0
0.0,-2.0,0.0,77.0,0.0,0.0,1.0
0.0,0.0,-30.0,66.0,66.0,0.0,1.0
0.0,0.0,-25.0,48.0,48.0,0.0,1.0
0.0,0.0,-12.0,35.0,35.0,0.0,4.0
1.0,0.0,-6.0,43.0,43.0,0.0,1.0
2.0,0.0,-4.0,32.0,32.0,0.0,1.0
1.0,-2.0,0.0,47.0,47.0,-2.0,1.0
0.0,3.0,1.0,54.0,54.0,3.0,4.0
0.0,-1.0,-10.0,37.0,37.0,-1.0,1.0
0.0,-5.0,2.0,39.0,39.0,-5.0,1.0
3.0,0.0,0.0,61.0,61.0,0.0,4.0
0.0,0.0,11.0,53.0,53.0,0.0,4.0
1.0,0.0,10.0,41.0,41.0,0.0,1.0
-2.0,0.0,-2.0,29.0,29.0,0.0,4.0
3.0,0.0,16.0,35.0,35.0,0.0,5.0
0.0,6.0,0.0,26.0,26.0,6.0,1.0
0.0,0.0,-13.0,30.0,30.0,0.0,1.0
-4.0,0.0,-8.0,37.0,37.0,0.0,1.0
0.0,0.0,25.0,42.0,42.0,0.0,1.0
-1.0,-3.0,-5.0,45.0,45.0,-3.0,1.0
0.0,0.0,-22.0,41.0,41.0,0.0,1.0
0.0,1.0,0.0,77.0,0.0,0.0,1.0
-78.0,-1.0,-20.0,49.0,49.0,-1.0,4.0
-1.0,0.0,-11.0,43.0,43.0,0.0,1.0
0.0,0.0,19.0,29.0,29.0,0.0,4.0
0.0,8.0,-9.0,45.0,45.0,8.0,1.0
2.0,0.0,0.0,44.0,44.0,0.0,1.0
2.0,0.0,0.0,39.0,39.0,0.0,1.0
2.0,0.0,0.0,41.0,41.0,0.0,4.0
0.0,0.0,-15.0,99.0,99.0,0.0,1.0
1.0,6.0,0.0,88.0,0.0,0.0,4.0
0.0,6.0,0.0,51.0,51.0,6.0,1.0
0.0,-1.0,-8.0,34.0,34.0,-1.0,1.0
0.0,0.0,-19.0,34.0,34.0,0.0,1.0
0.0,0.0,-8.0,85.0,85.0,0.0,4.0
5.0,0.0,0.0,32.0,32.0,0.0,1.0
0.0,0.0,9.0,42.0,42.0,0.0,1.0
0.0,0.0,0.0,85.0,85.0,0.0,1.0
0.0,2.0,2.0,41.0,41.0,2.0,4.0
0.0,0.0,1.0,42.0,42.0,0.0,1.0
1.0,2.0,1.0,125.0,125.0,2.0,1.0
0.0,0.0,2.0,65.0,65.0,0.0,1.0
0.0,-3.0,11.0,70.0,70.0,-3.0,1.0
736.0,-3.0,-16.0,72.0,72.0,-3.0,1.0
0.0,5.0,0.0,65.0,65.0,5.0,1.0
5.0,0.0,0.0,48.0,48.0,0.0,1.0
0.0,0.0,13.0,66.0,66.0,0.0,1.0
0.0,0.0,-7.0,67.0,67.0,0.0,1.0
-1.0,-1.0,-1.0,30.0,30.0,-1.0,1.0
0.0,3.0,0.0,44.0,44.0,3.0,4.0
0.0,1.0,0.0,43.0,43.0,1.0,1.0
0.0,0.0,29.0,46.0,46.0,0.0,1.0
0.0,-6.0,0.0,123.0,123.0,-6.0,1.0
0.0,0.0,15.0,50.0,50.0,0.0,5.0
0.0,0.0,-14.0,41.0,41.0,0.0,4.0
0.0,0.0,-4.0,91.0,91.0,0.0,1.0
0.0,-3.0,21.0,37.0,37.0,-3.0,1.0
1.0,0.0,18.0,28.0,28.0,0.0,5.0
0.0,0.0,-1.0,27.0,27.0,0.0,1.0
-4184.0,40.0,-10.0,72.0,72.0,40.0,1.0
0.0,0.0,-21.0,43.0,43.0,0.0,1.0
0.0,0.0,0.0,51.0,51.0,0.0,1.0
1.0,0.0,3.0,42.0,42.0,0.0,1.0
4.0,0.0,0.0,43.0,43.0,0.0,1.0
0.0,0.0,-30.0,74.0,74.0,0.0,1.0
0.0,0.0,-5.0,71.0,71.0,0.0,1.0
-1.0,0.0,-23.0,49.0,49.0,0.0,1.0
-1.0,0.0,0.0,49.0,49.0,0.0,1.0
1.0,0.0,0.0,30.0,30.0,0.0,1.0
4.0,-4.0,-23.0,51.0,51.0,-4.0,1.0
1.0,-6.0,0.0,32.0,32.0,-6.0,1.0
0.0,0.0,-14.0,37.0,37.0,0.0,1.0
-4.0,-1.0,0.0,35.0,35.0,-1.0,1.0
0.0,0.0,15.0,55.0,55.0,0.0,1.0
0.0,0.0,-10.0,36.0,36.0,0.0,1.0
-1.0,0.0,1.0,51.0,51.0,0.0,1.0
0.0,5.0,10.0,68.0,68.0,5.0,3.0
0.0,0.0,9.0,39.0,39.0,0.0,1.0
0.0,-2.0,-7.0,35.0,35.0,-2.0,1.0
0.0,0.0,0.0,45.0,45.0,0.0,4.0
0.0,0.0,-27.0,57.0,57.0,0.0,1.0
-1.0,-3.0,9.0,35.0,35.0,-3.0,1.0
-2.0,0.0,29.0,37.0,37.0,0.0,1.0
0.0,-6.0,20.0,46.0,46.0,-6.0,1.0
0.0,-4.0,16.0,42.0,42.0,-4.0,4.0
0.0,-2.0,8.0,39.0,39.0,-2.0,4.0
-4.0,0.0,0.0,36.0,36.0,0.0,1.0
0.0,0.0,11.0,68.0,68.0,0.0,1.0
0.0,-5.0,18.0,56.0,56.0,-5.0,1.0
3.0,0.0,0.0,28.0,28.0,0.0,4.0
0.0,-3.0,0.0,32.0,32.0,-3.0,1.0
-5.0,2.0,0.0,36.0,36.0,2.0,4.0
3.0,0.0,0.0,72.0,72.0,0.0,1.0
0.0,0.0,12.0,59.0,59.0,0.0,1.0
1.0,-1.0,-2.0,41.0,41.0,-1.0,1.0
-1.0,2.0,-11.0,26.0,26.0,2.0,1.0
-3.0,0.0,0.0,40.0,40.0,0.0,1.0
0.0,2.0,0.0,51.0,51.0,2.0,1.0
3.0,0.0,0.0,30.0,30.0,0.0,1.0
0.0,0.0,-1.0,59.0,59.0,0.0,1.0
1.0,0.0,0.0,60.0,60.0,0.0,1.0
-1.0,0.0,2.0,35.0,35.0,0.0,1.0
1.0,0.0,1.0,29.0,29.0,0.0,1.0
